lon,lat,quart.month,alfa.rain,beta.rain,probzero.rain,loc.harg,sc.harg,sh.harg,loc.pm,sc.pm,sh.pm
-47.3,-23.14,18,0.559433622,14.98278737,0.015151515,-17.62114476,6.21495085,-0.248511774,-18.22437404,7.804152914,-0.170529999
-47.3,-23.14,19,0.49129323,26.19744016,0.015151515,-15.28938842,6.795216536,-0.441039408,-16.24655335,7.978279578,-0.409833842
-47.3,-23.14,20,0.860203952,28.83182523,0.015151515,-14.21798331,15.79431724,-0.19887155,-15.00939693,18.03570615,-0.163369972
-47.3,-23.14,21,0.399205336,44.66138321,0.015151515,-13.02132795,10.38485691,-0.414476672,-13.63463144,12.02661392,-0.375445198
-47.3,-23.14,22,0.491298085,12.47206165,0.015151515,-16.00143735,5.442239915,-0.196911425,-17.31647395,6.910414335,-0.141722815
-47.3,-23.14,23,0.414772731,25.07547922,0.015151515,-15.27854198,6.31585608,-0.411229319,-16.58995272,7.71842461,-0.361333895
-47.3,-23.14,24,0.333786781,30.99845647,0.015151515,-21.19025315,6.499825133,-0.435208594,-23.03855272,8.588076901,-0.358725657
-47.3,-23.14,25,0.190579201,33.1200884,0.045454545,-18.47022376,3.242893633,-0.565514547,-20.27317174,4.218458756,-0.513271354
-47.3,-23.14,26,0.454196374,25.52310117,0.015151515,-15.01060972,8.242913902,-0.292894601,-17.01221897,9.73927784,-0.250354828
-47.3,-23.14,27,0.303463816,27.21587159,0.03030303,-18.93014772,5.017517126,-0.471466563,-21.11515715,6.939676351,-0.382283228
-47.3,-23.14,28,0.368009424,34.21020387,0.03030303,-26.97168888,5.384072421,-0.55125168,-29.4534765,5.891056952,-0.556235142
-47.3,-23.14,29,0.188849332,37.99233759,0.060606061,-22.5084595,3.837301847,-0.543107016,-24.31836856,5.939511648,-0.433798488
-47.3,-23.14,30,0.279142518,16.46285887,0.03030303,-23.84647189,3.987518529,-0.334982551,-25.60738761,5.841112455,-0.248143258
-47.3,-23.14,31,0.22607286,39.52413107,0.045454545,-25.14081209,4.746580383,-0.540149606,-27.21436827,6.407615158,-0.486670163
-47.3,-23.14,32,0.450894499,24.12685603,0.045454545,-38.00818138,7.240645256,-0.328576483,-39.81574669,9.056929081,-0.281445771
-47.3,-23.14,33,0.400693747,42.65907796,0.03030303,-26.25287214,12.1613946,-0.334228127,-26.49289434,15.07351103,-0.260466759
-47.3,-23.14,34,0.396830541,43.25883923,0.0625,-30.08979494,11.31475052,-0.384643011,-30.67981346,15.57944898,-0.283395824
