Year,Month,quart.month,Rain,EP,P-EP,SPI,SPEI,Categ.SPI,Categ.SPEI
2000,4,16,385.1,390.317284357681,-5.21728435768114,-0.117486951848495,-0.07426781067197,Normal,Normal
2000,5,17,327.3,381.549775999416,-54.2497759994157,-0.395381951484519,-0.394031348833825,Normal,Normal
2000,5,18,187.4,373.425283970111,-186.025283970111,-1.36626291821687,-1.35265720085355,mod.dry,mod.dry
2000,5,19,186,359.539910366931,-173.539910366931,-1.0352634575891,-1.06790428159131,mod.dry,mod.dry
2000,5,20,136.6,346.558786678257,-209.958786678257,-1.42238972145624,-1.41312611488218,mod.dry,mod.dry
2000,6,21,125.1,332.099463771245,-206.999463771245,-1.3296013379745,-1.35606367789387,mod.dry,mod.dry
2000,6,22,90.3,323.415699601304,-233.115699601304,-1.54759286262121,-1.78874924733342,sev.dry,sev.dry
2000,6,23,82.3,314.855294552882,-232.555294552882,-1.47063606481105,-1.77634331936934,mod.dry,sev.dry
2000,6,24,8.9,300.41008530182,-291.51008530182,-2.14002378662504,-2.5418324805964,ext.dry,ext.dry
2000,7,25,11.2,293.112905602236,-281.912905602236,-2.12464091172941,-1.97506715899443,ext.dry,sev.dry
2000,7,26,11.2,283.45738296339,-272.25738296339,-2.12016741728973,-2.12877553101358,ext.dry,ext.dry
2000,7,27,52.4,275.322182035035,-222.922182035035,-1.31815438886617,-1.43141563581758,mod.dry,mod.dry
2000,7,28,91.1,271.51367688821,-180.41367688821,-0.62490493664501,-0.781193466563959,Normal,Normal
2000,8,29,90.4,269.656902896458,-179.256902896458,-0.532292930397916,-0.693613859913873,Normal,Normal
2000,8,30,90.5,271.150754865775,-180.650754865775,-0.449366726603454,-0.558438238329022,Normal,Normal
2000,8,31,102.7,275.407114773651,-172.707114773651,-0.0872631745709823,-0.118222939535949,Normal,Normal
2000,8,32,155.3,285.120518604513,-129.820518604513,0.945912758316355,0.972332644705157,Normal,Normal
2000,9,33,183.3,287.422710239777,-104.122710239777,1.80435695324288,1.65252518179979,sev.wet,sev.wet
2000,9,34,228.5,294.938450033059,-66.4384500330593,1.98999356082252,1.74361738575236,sev.wet,sev.wet
2000,9,35,226.1,305.918652261752,-79.8186522617525,1.8663596748928,1.65864803871259,sev.wet,sev.wet
2000,9,36,227.3,320.190411464677,-92.8904114646767,1.6433366221907,1.56618248118018,sev.wet,sev.wet
2000,10,37,263,334.666344439653,-71.666344439653,1.52125842180484,1.47509140033798,sev.wet,mod.wet
2000,10,38,263.4,352.910467011926,-89.5104670119261,1.29330653994153,1.19997824307004,mod.wet,mod.wet
2000,10,39,227.9,376.517183539828,-148.617183539828,0.801619192647444,0.636265492593868,Normal,Normal
2000,10,40,204.6,400.499856532684,-195.899856532684,0.262680730599095,0.0985960732313044,Normal,Normal
2000,11,41,221.1,416.585693907724,-195.485693907724,0.198771359571317,0.0869906108102843,Normal,Normal
2000,11,42,259.2,429.135591417529,-169.935591417529,0.334301942829678,0.23641501964559,Normal,Normal
2000,11,43,357.1,441.082577412509,-83.9825774125094,0.885966525463124,0.772621912085983,Normal,Normal
2000,11,44,413.8,450.366792274808,-36.5667922748081,0.934714617490613,0.829422703179045,Normal,Normal
2000,12,45,389.7,464.891134329607,-75.1911343296067,0.430228352531191,0.235001047298014,Normal,Normal
2000,12,46,361.2,477.180884712148,-115.980884712148,-0.149363062619019,-0.285257906578589,Normal,Normal
2000,12,47,434.6,479.415462613235,-44.815462613235,0.26341952183129,0.0994889474140716,Normal,Normal
2000,12,48,553.6,490.508692040891,63.0913079591095,0.797918131932118,0.653344792506024,Normal,Normal
2001,1,1,528.2,496.898972587398,31.301027412602,0.257072301279785,0.0399665699879211,Normal,Normal
2001,1,2,543.8,498.322439278354,45.4775607216456,0.0896789824531939,-0.103864255375539,Normal,Normal
2001,1,3,553.7,499.288575764218,54.4114242357822,-0.161913967469427,-0.280530580657877,Normal,Normal
2001,1,4,661,499.727890549071,161.272109450929,0.343146155847307,0.283581977492018,Normal,Normal
2001,2,5,800.3,500.096249985306,300.203750014694,1.02397338036232,0.896180169321411,mod.wet,Normal
2001,2,6,882.8,497.639570490109,385.160429509891,1.38912007767934,1.32064746340482,mod.wet,mod.wet
2001,2,7,806.6,499.179856719995,307.420143280005,0.936799690268604,0.757074017041577,Normal,Normal
2001,2,8,701.3,488.3929919709,212.9070080291,0.432841105932508,0.105982453034648,Normal,Normal
2001,3,9,702.1,487.988228045782,214.111771954218,0.45591796052688,0.169587039658848,Normal,Normal
2001,3,10,730.9,478.787568357389,252.112431642611,0.679663545195813,0.462197002345208,Normal,Normal
2001,3,11,664.4,479.519321597309,184.880678402691,0.331368439301006,0.0292140454735899,Normal,Normal
2001,3,12,598.7,473.297565605421,125.402434394579,0.0753409251618781,-0.272105165300592,Normal,Normal
2001,4,13,608.1,460.996433184375,147.103566815625,0.333394603697404,0.0515644024442667,Normal,Normal
2001,4,14,592.1,448.969163368521,143.130836631479,0.552782769086305,0.362530026021638,Normal,Normal
2001,4,15,578,435.970374034704,142.029625965296,0.823972182954536,0.669599668308592,Normal,Normal
2001,4,16,457.8,415.927200744206,41.8727992557941,0.429030060187602,0.275850197994548,Normal,Normal
2001,5,17,316.8,401.646257043178,-84.8462570431777,-0.493995210721634,-0.683729992034961,Normal,Normal
2001,5,18,230.3,389.622359485646,-159.322359485646,-0.91043223977184,-1.0956405523573,Normal,mod.dry
2001,5,19,208.4,370.06530237933,-161.66530237933,-0.794941690010667,-0.959446185331435,Normal,Normal
2001,5,20,230.8,358.898180854518,-128.098180854518,-0.408025110656822,-0.578279646777369,Normal,Normal
2001,6,21,226.1,344.198786195146,-118.098786195146,-0.261985825468278,-0.442001379638935,Normal,Normal
2001,6,22,184.1,331.82157718314,-147.72157718314,-0.399543720507116,-0.58674172314231,Normal,Normal
2001,6,23,175.3,313.306631915763,-138.006631915763,-0.251543447273982,-0.358885419562409,Normal,Normal
2001,6,24,136.9,290.208228983488,-153.308228983488,-0.302561397277457,-0.419107613990754,Normal,Normal
2001,7,25,114.9,283.272597597798,-168.372597597798,-0.3441407737962,-0.526517999301817,Normal,Normal
2001,7,26,118.1,274.45721098533,-156.35721098533,-0.222486643763849,-0.372180933160277,Normal,Normal
2001,7,27,115.8,268.889660383032,-153.089660383032,-0.220981820037672,-0.327237263418973,Normal,Normal
2001,7,28,121.5,261.357751984153,-139.857751984153,-0.123873293040306,-0.154406448978447,Normal,Normal
2001,8,29,105.6,263.266377874454,-157.666377874454,-0.263078301010802,-0.263212089338398,Normal,Normal
2001,8,30,70,268.022728384688,-198.022728384688,-0.857758361158236,-1.00790586471965,Normal,mod.dry
2001,8,31,58,276.890005740435,-218.890005740435,-0.931810961556546,-1.30657651311562,Normal,mod.dry
2001,8,32,59.1,287.98307735451,-228.88307735451,-0.711476038776311,-0.97615513892603,Normal,Normal
2001,9,33,59.1,296.603597634672,-237.503597634672,-0.793900999831015,-1.0984643450635,Normal,mod.dry
2001,9,34,64.1,307.280973904853,-243.180973904853,-0.676245194517037,-0.881252971330186,Normal,Normal
2001,9,35,112.6,318.975561597849,-206.375561597849,0.223254548734216,0.290220717513357,Normal,Normal
2001,9,36,111.1,332.644461806649,-221.544461806649,0.0491519363320348,0.0427889559761469,Normal,Normal
2001,10,37,258.4,342.883344760276,-84.4833447602761,1.47669435351716,1.34941198175185,mod.wet,mod.wet
2001,10,38,311.5,355.179179057485,-43.6791790574854,1.72625413239165,1.57938342873941,sev.wet,sev.wet
2001,10,39,335.8,367.06976385375,-31.2697638537496,1.79636549025367,1.68832127850324,sev.wet,sev.wet
2001,10,40,351.6,396.800011063596,-45.2000110635956,1.65915830212658,1.50298005949948,sev.wet,sev.wet
2001,11,41,359,409.102629149763,-50.102629149763,1.54296079663548,1.34772073181308,sev.wet,mod.wet
2001,11,42,397.1,420.057796038678,-22.9577960386776,1.632735681426,1.41940720414853,sev.wet,mod.wet
2001,11,43,419.2,430.435815677622,-11.2358156776223,1.42487455187887,1.46409951545737,mod.wet,mod.wet
2001,11,44,428.5,444.082505941818,-15.5825059418177,1.05725127858416,1.00197344552283,mod.wet,mod.wet
2001,12,45,450.8,450.650748043537,0.149251956463047,0.942387767839553,0.839955606320109,Normal,Normal
2001,12,46,472,454.021512963279,17.9784870367208,0.809225272336192,0.764591128020171,Normal,Normal
2001,12,47,468.1,464.063469797052,4.03653020294826,0.572719141642587,0.522086789682544,Normal,Normal
2001,12,48,559.6,474.987967422577,84.6120325774232,0.844566180078465,0.819204382477863,Normal,Normal
2002,1,1,414.2,481.207792501384,-67.0077925013838,-0.703754467113763,-0.679526015196801,Normal,Normal
2002,1,2,460.3,481.405368699927,-21.1053686999267,-0.588166962732253,-0.575119731490449,Normal,Normal
2002,1,3,508.9,480.019510137618,28.8804898623823,-0.503944890505216,-0.454309849598533,Normal,Normal
2002,1,4,527.6,480.233688015649,47.3663119843511,-0.569424423780368,-0.467927783116817,Normal,Normal
2002,2,5,545.8,474.766175856648,71.0338241433519,-0.484544962466454,-0.419643941144376,Normal,Normal
2002,2,6,554.1,469.699893285006,84.4001067149943,-0.607499654467669,-0.508762694683016,Normal,Normal
2002,2,7,584.2,461.742336185894,122.457663814106,-0.409390311475745,-0.332799916793056,Normal,Normal
2002,2,8,549.5,440.952141325697,108.547858674303,-0.639609272924815,-0.530107799103301,Normal,Normal
2002,3,9,537,441.565334064963,95.4346659350373,-0.627255550215081,-0.530676642917128,Normal,Normal
2002,3,10,509.9,445.267896792934,64.6321032070663,-0.744032457084208,-0.657752680329195,Normal,Normal
2002,3,11,498.6,439.641444723694,58.9585552763062,-0.802191764899697,-0.726338491234789,Normal,Normal
2002,3,12,463.3,434.197666392499,29.1023336075015,-0.895054562805448,-0.836618046442853,Normal,Normal
2002,4,13,483.1,425.536452045125,57.5635479548755,-0.51540132074847,-0.498057489429642,Normal,Normal
2002,4,14,380.9,423.104898564527,-42.2048985645274,-1.02295296753051,-0.992903972991674,mod.dry,Normal
2002,4,15,308,418.182136107373,-110.182136107373,-1.22213500431226,-1.29122970222051,mod.dry,mod.dry
2002,4,16,265.3,396.773307537577,-131.473307537577,-1.1597594115747,-1.21279228089335,mod.dry,mod.dry
2002,5,17,278.3,386.534120792257,-108.234120792257,-0.870334939302587,-0.919077746816886,Normal,Normal
2002,5,18,231.9,378.159420120108,-146.259420120108,-0.893960210118417,-0.973640043749251,Normal,Normal
2002,5,19,229.7,367.931495595646,-138.231495595646,-0.577773085551289,-0.750106298490285,Normal,Normal
2002,5,20,235.8,363.044175840124,-127.244175840124,-0.360595135806196,-0.570337806372995,Normal,Normal
2002,6,21,226,346.8643327595,-120.8643327595,-0.262895564158975,-0.467498678100469,Normal,Normal
2002,6,22,223.4,331.252293547483,-107.852293547483,-0.0149886846764611,-0.159164169291139,Normal,Normal
2002,6,23,189.5,319.76995405077,-130.26995405077,-0.100803091655604,-0.269414667343876,Normal,Normal
2002,6,24,118.7,302.124893338445,-183.424893338445,-0.552628643526534,-0.804387030925353,Normal,Normal
2002,7,25,97,292.086160271991,-195.086160271991,-0.606082939061726,-0.842333124512351,Normal,Normal
2002,7,26,100.3,278.876638376833,-178.576638376833,-0.480303596802934,-0.659936915518766,Normal,Normal
2002,7,27,100.3,269.723615422174,-169.423615422174,-0.44760794344531,-0.55381992306882,Normal,Normal
2002,7,28,102.1,267.983330401745,-165.883330401745,-0.433219041594422,-0.543057208160117,Normal,Normal
2002,8,29,117.9,266.082482772332,-148.182482772332,-0.0623732710820835,-0.0976633455199775,Normal,Normal
2002,8,30,117.9,270.901038190507,-153.001038190507,0.0163610581582105,-0.00271391340406428,Normal,Normal
2002,8,31,67.9,277.53323447167,-209.63323447167,-0.717575833766304,-1.00580354814868,Normal,mod.dry
2002,8,32,71.7,289.786288175083,-218.086288175083,-0.4254282149694,-0.617660228334497,Normal,Normal
2002,9,33,89,297.854622328901,-208.854622328901,0.0214001226322005,-0.00845017936512636,Normal,Normal
2002,9,34,89.1,304.695027818857,-215.595027818857,-0.100708480930081,0.0656345992561122,Normal,Normal
2002,9,35,120.8,312.591222702816,-191.791222702816,0.370619669332443,0.531860441881654,Normal,Normal
2002,9,36,120.8,327.193112563556,-206.393112563556,0.214828720666872,0.282134323393783,Normal,Normal
2002,10,37,124.8,343.095303765957,-218.295303765957,-0.131395885801889,-0.161128652923245,Normal,Normal
2002,10,38,121.3,371.118760060896,-249.818760060896,-0.395537945314165,-0.518676979714153,Normal,Normal
2002,10,39,122.5,393.163020352366,-270.663020352366,-0.523769350294641,-0.713113490052495,Normal,Normal
2002,10,40,160.7,415.514349841959,-254.814349841959,-0.275954718891745,-0.523029556050934,Normal,Normal
2002,11,41,137.5,429.406356670576,-291.906356670576,-0.897175088397726,-1.05153137339021,Normal,mod.dry
2002,11,42,159.1,437.667676554636,-278.567676554636,-0.911547549817847,-1.04175039211161,Normal,mod.dry
2002,11,43,217.6,453.057733103564,-235.457733103564,-0.587838326983876,-0.746373226332498,Normal,Normal
2002,11,44,326.7,459.512735273564,-132.812735273564,0.145378929028219,-0.0156566092176814,Normal,Normal
