YEAR,MM,DD,tmed,tmax,tmin,Ra,Rs,W,RH,Rain
1991,7,19,16.99,23.67,12.26,23.92,15.21,1.73,78.94,0
1991,7,20,16.4,23.34,11,24.02,16.11,1.65,77.56,0.03
1991,7,21,16.14,23.12,11.32,24.12,16.2,1.84,78.12,0
1991,7,22,16.33,22.65,11.69,24.22,15,2.44,76.44,0.04
1991,7,23,15.48,21.12,10.05,24.31,9.25,2.84,83.56,0.03
1991,7,24,13.05,20.56,8.05,24.42,16.8,1.34,71.56,0.01
1991,7,25,15.37,23.25,9.95,24.53,17.63,2,83.62,0.03
1991,7,26,16.3,23.34,11.02,24.65,16.7,1.46,76.56,0.01
1991,7,27,15.58,22.97,9.37,24.78,17.33,1.61,76.38,0.02
1991,7,28,15.22,22.37,9.46,24.91,18.21,2.03,77.69,0.03
1991,7,29,15.17,22.3,10.29,25.05,16.93,2.2,78.12,0.03
1991,7,30,15.89,23.2,10.06,25.19,16.61,2.55,78.88,0.03
1991,7,31,16.89,24.12,10.33,25.32,15.34,2.09,75.62,0.04
1991,8,1,17.8,25.51,12.34,25.44,16.02,2.57,77.88,0.06
1991,8,2,9.88,12.28,5.83,25.57,10.05,4.52,85.81,1.1
1991,8,3,9.41,13.28,5.71,25.7,15.5,3.79,84.06,0.11
1991,8,4,14.26,21.14,8.62,25.84,15.54,2.04,79.94,0.02
1991,8,5,16.6,23.94,9.77,25.99,15.87,1.43,75.94,0.02
1991,8,6,17.73,25.23,11.08,26.14,16.3,1.76,73.81,0.86
1991,8,7,18.69,26,12.6,26.29,13.78,1.86,76.06,8.31
1991,8,8,18.9,24.46,15.13,26.45,7.66,1.41,83.69,6.45
1991,8,9,19.16,26.46,13.84,26.59,15.91,2.39,76.25,0.32
1991,8,10,19.82,27.51,12.99,26.75,16.19,1.8,75.12,0.33
1991,8,11,17.8,25.52,12.73,26.9,15.61,2.66,84.44,0.35
1991,8,12,15.98,22.54,12.42,27.06,17.16,3.89,84.19,0.13
1991,8,13,18.04,24.96,13.02,27.22,17.61,2.3,83.88,0.03
1991,8,14,18.12,24.52,14.02,27.37,15.62,3.2,81.56,0.01
1991,8,15,15.36,21.69,10.37,27.54,18.08,3.55,75.25,0
1991,8,16,13.37,20.94,7.86,27.69,19.52,2.88,73.75,0.02
1991,8,17,13.05,21.65,5.51,27.85,20.05,1.87,75.56,0.01
1991,8,18,14.05,22.01,7.05,28.01,19.79,1.68,71.44,0.01
1991,8,19,15.13,22.98,8.62,28.17,18.82,2.11,74.75,0.01
1991,8,20,17.05,24.18,10.73,28.33,15.21,2.11,76.56,0.01
1991,8,21,17.38,25.08,11.42,28.49,19.68,2.04,75.25,0
1991,8,22,17.21,25.18,10.33,28.68,19.44,1.69,76.12,0.01
1991,8,23,17.89,25.79,10.76,28.87,17.36,1.14,72.69,0.02
1991,8,24,18.1,25.83,11.53,29.06,17.63,1.23,72.38,0
1991,8,25,18.36,25.61,12.69,29.23,15.47,1.88,71.38,0
1991,8,26,18.36,25.65,11.9,29.4,16.55,1.44,75.31,0
1991,8,27,20.45,27.59,14.97,29.57,19.47,1.24,66.12,0
1991,8,28,20.03,27.73,15.07,29.75,19.11,1.7,63.94,0
1991,8,29,20.26,28.22,14.08,29.91,19.83,1.53,70.69,0.02
1991,8,30,19.9,28.12,13.8,30.08,19.28,1.7,72.44,0.04
1991,8,31,19.37,27.92,13.48,30.26,20.17,2.09,73.25,0.04
1991,9,1,16.36,22.42,12.79,30.45,16.95,4.35,83.56,1.61
1991,9,2,14.43,20.12,11.23,30.63,12.46,4.24,79.5,0.53
1991,9,3,14.95,22.44,9.93,30.81,17.53,2.54,75,0.1
1991,9,4,15.9,24.43,9.78,30.99,20.88,2.36,70.62,0
1991,9,5,15.98,25.49,8.37,31.17,21.5,2.4,68.19,0.01
1991,9,6,16.26,26.63,8.32,31.35,22.9,2.12,68.69,0.01
1991,9,7,16.81,27.08,8.27,31.52,22.25,1.41,66.38,0
1991,9,8,17.49,27.12,10.07,31.69,17.85,1.81,63.62,0
1991,9,9,16.28,23.97,10.48,31.87,21.42,3.3,73.06,0
1991,9,10,17.79,26.69,11.98,32.05,19.81,2.92,73.69,0
1991,9,11,18.95,28.08,12.03,32.24,21.07,2.22,69.81,0
1991,9,12,17.35,26.83,10.83,32.43,21.97,3.24,70.88,0
1991,9,13,18.82,29.55,9.9,32.62,23.55,2.08,69.69,0
1991,9,14,20.47,31.19,13.14,32.79,21.5,2.02,65.75,0.01
1991,9,15,18.94,29.92,10.56,32.97,21.34,2.08,65.56,0
1991,9,16,19.09,28.09,13.29,33.14,17.59,2.71,70.25,0.17
1991,9,17,21.1,30.84,13.1,33.32,22.91,2.31,70.75,0.26
1991,9,18,23.83,31.58,18.08,33.5,18.55,2.6,65.75,1.93
1991,9,19,17.16,19.65,12.19,33.67,4.76,2.98,88.12,14.93
1991,9,20,16.38,23.21,11.93,33.84,16.57,3.75,74.44,0.32
1991,9,21,18.97,27.41,10.89,34.02,20.24,1.67,71.12,0.04
1991,9,22,20.89,27.9,13.47,34.2,19.83,1.67,68.06,0.02
1991,9,23,19.44,26.7,13.86,34.37,21.25,3.06,71.56,0.98
1991,9,24,18.24,27.55,13.62,34.54,20.22,3.97,76.06,1.53
1991,9,25,16.7,24.25,12.73,34.71,12.04,3.18,82.38,9.45
1991,9,26,16.48,24.05,12.83,34.86,22.69,3.7,81.56,1.27
1991,9,27,18.57,27.15,12.15,35.02,26.3,1.89,71.25,1.22
