YEAR,MM,DD,tmed,tmax,tmin,Ra,Rain
1991,7,14,16.4,18.8,14,23.47,2.2
1991,7,15,17.2,20,14.4,23.54,0
1991,7,16,17.7,21.6,13.8,23.64,0
1991,7,17,17.95,22.1,13.8,23.73,0
1991,7,18,20,26,14,23.82,0
1991,7,19,20.2,26.4,14,23.92,0
1991,7,20,19.8,26.4,13.2,24.02,0
1991,7,21,19.9,26.4,13.4,24.12,0
1991,7,22,19.5,26.2,12.8,24.22,0
1991,7,23,18.5,25,12,24.31,0
1991,7,24,13.3,18.6,8,24.42,0
1991,7,25,14.8,20.8,8.8,24.53,0
1991,7,26,17.3,24.4,10.2,24.65,0
1991,7,27,19.6,25.8,13.4,24.78,0
1991,7,28,19.9,26,13.8,24.91,0
1991,7,29,20,25.8,14.2,25.05,0
1991,7,30,19.8,25.6,14,25.19,0
1991,7,31,20.6,27.2,14,25.32,0
1991,8,1,20.6,27,14.2,25.44,0
1991,8,2,22.4,28.8,16,25.57,0
1991,8,3,12.5,16.6,8.4,25.7,0
1991,8,4,13.2,17,9.4,25.84,0
1991,8,5,18,24.4,11.6,25.99,0
1991,8,6,20,26.6,13.4,26.14,0
1991,8,7,21,27.6,14.4,26.29,0
1991,8,8,22.5,28.6,16.4,26.45,3.2
1991,8,9,18.3,21,15.6,26.59,0
1991,8,10,23.4,30.4,16.4,26.75,0
1991,8,11,24.1,30.4,17.8,26.9,0
1991,8,12,20,25.2,14.8,27.06,0
1991,8,13,19.7,24.2,15.2,27.22,0
1991,8,14,22.4,28,16.8,27.37,0
1991,8,15,21,26.8,15.2,27.54,0
1991,8,16,20,29.4,10.6,27.69,0
1991,8,17,16.4,22.6,10.2,27.85,0
1991,8,18,16.8,23.8,9.8,28.01,0
1991,8,19,17.5,24.6,10.4,28.17,0
1991,8,20,19.8,27.6,12,28.33,0
1991,8,21,20.4,26.6,14.2,28.49,0
1991,8,22,20.5,27.6,13.4,28.68,0
1991,8,23,20.2,26.8,13.6,28.87,0
1991,8,24,21.6,28,15.2,29.06,0
1991,8,25,23,29,17,29.23,0
1991,8,26,22.7,27.8,17.6,29.4,0
1991,8,27,22.4,28.8,16,29.57,0
1991,8,28,23.5,30,17,29.75,0
1991,8,29,24,31.2,16.8,29.91,0
1991,8,30,23.7,30.2,17.2,30.08,0
1991,8,31,23.4,30.4,16.4,30.26,0
1991,9,1,23.5,30.6,16.4,30.45,0
1991,9,2,20.1,25.4,14.8,30.63,0
1991,9,3,17.1,20.6,13.6,30.81,0
