Year,Month,quart.month,Rain,EP.Harg,EP.PM,P-EP.Harg,P-EP.PM,SPI,SPEI.Harg,SPEI.PM,Categ.SPI,Categ.SPEI.Harg,Categ.SPEI.PM
2007,9,36,8.72,41.4615324209287,37.5013116570518,-32.7415324209287,-28.7813116570518,-0.387739800844164,-0.426041408100959,-0.337004284814295,Normal,Normal,Normal
2007,10,37,0.13,39.8329356010593,39.8694785436474,-39.7029356010593,-39.7394785436474,-2.08945384127758,-1.47209292025503,-1.4214296487164,ext.dry,mod.dry,mod.dry
2007,10,38,3.94,42.1153645297674,39.7063013612777,-38.1753645297674,-35.7663013612777,-0.836194335526996,-1.05001239957351,-0.909486955910852,Normal,mod.dry,Normal
2007,10,39,13.73,41.6641210427921,35.7295743468238,-27.9341210427921,-21.9995743468238,-0.513510723900465,-0.785180367691983,-0.633448433157454,Normal,Normal,Normal
2007,10,40,62.55,48.4952568727423,43.2071027712673,14.0547431272577,19.3428972287327,1.12887170318575,1.15949579681521,1.06855651769135,mod.wet,mod.wet,mod.wet
2007,11,41,77.53,33.7016608481761,24.4424894640406,43.8283391518239,53.0875105359594,1.85200666699313,1.80010979703316,1.80283321763752,sev.wet,sev.wet,sev.wet
2007,11,42,37.17,31.8187582414554,23.1054350822234,5.35124175854464,14.0645649177766,0.569133039196566,0.643223889147962,0.778907177602312,Normal,Normal,Normal
2007,11,43,23.72,36.9895412648949,31.5830744911148,-13.2695412648949,-7.86307449111482,-0.265915759299404,-0.33303728637001,-0.222518596083662,Normal,Normal,Normal
2007,11,44,11.83,53.6704197484076,50.128072812343,-41.8404197484076,-38.298072812343,-1.76139301091343,-1.51859881305804,-1.42426209628975,sev.dry,sev.dry,mod.dry
2007,12,45,43.25,42.1462738413296,37.107479973639,1.10372615867045,6.142520026361,0.334329682071213,-0.0424104334163418,0.033640538717702,Normal,Normal,Normal
2007,12,46,42,30.0553761352533,23.7770469693928,11.9446238647467,18.2229530306072,0.0760465740717026,0.176108542873132,0.193986081518697,Normal,Normal,Normal
2007,12,47,69.37,37.6870219342194,32.711768174034,31.6829780657806,36.658231825966,0.975376115771373,0.813438893286302,0.840959122772224,Normal,Normal,Normal
2007,12,48,11.65,57.7074795811357,59.126705089798,-46.0574795811357,-47.476705089798,-2.07961484365342,-1.89830268559264,-1.89915583124216,ext.dry,sev.dry,sev.dry
2008,1,1,54.47,34.9610723167986,30.4475994578461,19.5089276832014,24.0224005421539,0.0973945767911364,0.0772939606274787,0.0990434263400903,Normal,Normal,Normal
2008,1,2,73.13,36.956097084284,33.756245334657,36.173902915716,39.373754665343,0.633695917942097,0.491517934088739,0.447194725439052,Normal,Normal,Normal
2008,1,3,90.64,32.6768902036573,24.89948394338,57.9631097963427,65.74051605662,1.22315169087305,1.24956985020891,1.27132185392667,mod.wet,mod.wet,mod.wet
2008,1,4,69.83,42.7481028935838,28.332531011305,27.0818971064162,41.497468988695,0.0254282827079815,0.0944731448549113,0.304249894848591,Normal,Normal,Normal
2008,2,5,52.83,31.6817946441863,28.4125727340733,21.1482053558137,24.4174272659267,0.337774608512048,0.265703992802185,0.301577320156667,Normal,Normal,Normal
2008,2,6,38.53,32.4402015551632,32.6594792421619,6.08979844483681,5.87052075783808,0.0302599316646444,-0.123560062842037,-0.15091813922684,Normal,Normal,Normal
2008,2,7,59.63,29.579119644006,29.448586538492,30.050880355994,30.181413461508,0.821912800586365,0.762759388157481,0.670063753174423,Normal,Normal,Normal
2008,2,8,38.98,33.7178212189663,27.773780977466,5.26217878103366,11.206219022534,-0.00523661773976099,-0.195131441454234,-0.0280198541880784,Normal,Normal,Normal
2008,3,9,17.42,33.3689478008151,35.2408791936216,-15.9489478008151,-17.8208791936216,-0.633573170512882,-0.850841712121827,-0.852135818792856,Normal,Normal,Normal
2008,3,10,69.83,26.1170062707177,23.158142939299,43.7129937292822,46.671857060701,1.39130495966739,1.44967341967098,1.48873650871643,mod.wet,mod.wet,mod.wet
2008,3,11,38.68,26.4511597022825,23.3125722093578,12.2288402977175,15.3674277906422,0.389121412856354,0.402632814462848,0.490771216246279,Normal,Normal,Normal
2008,3,12,26.36,37.5186800871122,40.8776020189166,-11.1586800871122,-14.5176020189166,-0.115885014914535,-0.112768339970676,-0.185396083901259,Normal,Normal,Normal
2008,4,13,33.53,23.905730048926,19.6703044621384,9.62426995107404,13.8596955378617,0.876852028649972,0.981780766811003,1.06958920895004,Normal,Normal,mod.wet
